Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,0.907000,0.917000,0.841000,0.897000,0.897000,0
2004-02-01,0.901000,0.943000,0.897000,0.927000,0.927000,0
2004-03-01,0.932000,0.948000,0.912000,0.923000,0.923000,0
2004-04-01,0.922000,1.002000,0.912000,0.952000,0.952000,0
2004-05-01,0.954000,1.057000,0.952000,1.052000,1.052000,0
2004-06-01,1.054000,1.387000,1.053000,1.303000,1.303000,0
2004-07-01,1.270000,1.445000,1.176000,1.412000,1.412000,0
2004-08-01,1.400000,1.577000,1.372000,1.568000,1.568000,0
2004-09-01,1.562000,1.703000,1.547000,1.674000,1.674000,0
2004-10-01,1.668000,1.877000,1.648000,1.867000,1.867000,0
2004-11-01,1.870000,2.188000,1.870000,2.182000,2.182000,0
2004-12-01,2.172000,2.267000,2.142000,2.182000,2.182000,0
2005-01-01,2.199000,2.427000,2.197000,2.422000,2.422000,315900
2005-02-01,2.457000,2.703000,2.422000,2.690000,2.690000,2959200
2005-03-01,2.697000,2.818000,2.672000,2.722000,2.722000,2008200
2005-04-01,2.727000,2.872000,2.683000,2.837000,2.837000,631600
2005-05-01,2.837000,2.895000,2.711000,2.882000,2.882000,474000
2005-06-01,2.907000,3.083000,2.882000,3.060000,3.060000,158000
2005-07-01,3.060000,3.359000,3.058000,3.332000,3.332000,473700
2005-08-01,3.335000,3.507000,3.335000,3.430000,3.430000,0
2005-09-01,3.428000,3.555000,3.298000,3.470000,3.470000,0
2005-10-01,3.475000,3.847000,3.360000,3.805000,3.805000,0
2005-11-01,3.865000,3.930000,3.820000,3.857000,3.857000,0
2005-12-01,3.852000,4.015000,3.397000,3.985000,3.985000,0
2006-01-01,4.025000,4.375000,4.005000,4.370000,4.370000,0
2006-02-01,4.352000,4.512000,4.340000,4.507000,4.507000,0
2006-03-01,4.497000,4.582000,4.242000,4.515000,4.515000,0
2006-04-01,4.515000,4.690000,4.502000,4.650000,4.650000,0
2006-05-01,4.650000,4.847000,4.637000,4.715000,4.715000,0
2006-06-01,4.722000,4.920000,4.672000,4.860000,4.860000,0
2006-07-01,4.885000,5.030000,4.855000,4.935000,4.935000,0
2006-08-01,4.935000,5.010000,4.900000,4.905000,4.905000,0
2006-09-01,4.905000,4.910000,4.720000,4.760000,4.760000,0
2006-10-01,4.775000,5.005000,4.750000,4.940000,4.940000,0
2006-11-01,4.940000,4.965000,4.880000,4.890000,4.890000,0
2006-12-01,4.890000,4.900000,4.750000,4.885000,4.885000,0
2007-01-01,4.920000,5.015000,4.885000,4.975000,4.975000,0
2007-02-01,4.975000,5.045000,4.960000,4.995000,4.995000,0
2007-03-01,4.980000,4.995000,4.870000,4.895000,4.895000,0
2007-04-01,4.890000,4.910000,4.650000,4.725000,4.725000,0
2007-05-01,4.765000,4.775000,4.565000,4.590000,4.590000,0
2007-06-01,4.620000,4.730000,4.350000,4.670000,4.670000,0
2007-07-01,4.715000,4.880000,4.690000,4.810000,4.810000,0
2007-08-01,4.770000,4.830000,2.400000,3.990000,3.990000,0
2007-09-01,4.125000,4.290000,3.500000,3.700000,3.700000,0
2007-10-01,3.810000,4.180000,3.500000,3.820000,3.820000,0
2007-11-01,3.800000,3.800000,2.800000,3.070000,3.070000,0
2007-12-01,3.090000,3.280000,2.650000,3.140000,3.140000,0
2008-01-01,3.265000,3.300000,1.800000,1.870000,1.870000,0
2008-02-01,1.960000,2.260000,1.700000,1.785000,1.785000,0
2008-03-01,1.835000,1.845000,0.200000,1.275000,1.275000,0
2008-04-01,1.380000,1.450000,1.000000,1.340000,1.340000,0
2008-05-01,1.350000,1.910000,1.310000,1.850000,1.850000,0
2008-06-01,1.840000,2.010000,1.600000,1.705000,1.705000,0
2008-07-01,1.830000,1.860000,1.250000,1.635000,1.635000,0
2008-08-01,1.630000,1.870000,1.530000,1.690000,1.690000,0
2008-09-01,1.695000,1.750000,0.010000,0.900000,0.900000,0
2008-10-01,0.750000,1.260000,0.020000,0.435000,0.435000,0
2008-11-01,0.440000,0.505000,0.005000,0.020000,0.020000,0
2008-12-01,0.020000,0.115000,0.005000,0.115000,0.115000,0
2009-01-01,0.095000,0.240000,0.050000,0.220000,0.220000,0
2009-02-01,0.210000,0.335000,0.210000,0.250000,0.250000,0
2009-03-01,0.245000,0.270000,0.115000,0.200000,0.200000,0
2009-04-01,0.205000,0.225000,0.065000,0.125000,0.125000,0
2009-05-01,0.130000,0.190000,0.120000,0.130000,0.130000,0
2009-06-01,0.140000,0.210000,0.050000,0.180000,0.180000,0
2009-07-01,0.175000,0.185000,0.120000,0.175000,0.175000,0
2009-08-01,0.175000,0.180000,0.100000,0.130000,0.130000,0
2009-09-01,0.145000,0.145000,0.065000,0.115000,0.115000,0
