Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,35.911980,38.614094,34.621937,37.881908,15.519434,65235589
2004-02-01,37.829609,39.206818,36.975391,38.282867,15.683693,40841965
2004-03-01,38.439766,39.572910,37.219456,39.398579,16.343138,35597546
2004-04-01,39.398579,39.921570,35.946846,36.713898,15.229493,58791085
2004-05-01,36.626732,36.713898,32.861206,34.761402,14.419555,41949865
2004-06-01,34.761402,36.156040,33.366760,35.371555,14.882003,31035052
2004-07-01,35.284393,37.690147,34.587070,37.480949,15.769498,28960362
2004-08-01,37.480949,39.171951,37.219456,38.596661,16.238907,35450641
2004-09-01,38.614094,40.095901,38.108540,39.904137,16.997879,37185394
2004-10-01,39.921570,43.164108,39.834404,42.763149,18.215733,34575461
2004-11-01,42.763149,45.604729,42.379623,44.070625,18.772673,38581368
2004-12-01,44.157787,45.465263,42.100697,44.157787,19.015099,32900074
2005-01-01,44.314686,46.842472,42.484222,46.703007,20.111124,31532266
2005-02-01,46.877338,48.341709,44.663345,47.051666,20.261265,44364307
2005-03-01,47.121399,49.161060,46.825039,48.829834,21.241894,44632077
2005-04-01,49.178493,50.921795,48.446308,50.886929,22.136759,41263640
2005-05-01,50.991524,51.462215,47.661823,47.905884,20.839958,65056329
2005-06-01,47.905884,52.264133,47.888451,51.828308,22.769756,39073596
2005-07-01,51.950340,53.257816,50.555698,51.497082,22.624237,33398499
2005-08-01,51.462215,52.211834,48.533470,50.538265,22.202993,40373372
2005-09-01,50.555698,51.357616,48.951862,50.852062,23.094463,43461882
2005-10-01,50.869495,51.165855,43.687099,46.162582,20.964739,61955202
2005-11-01,46.110287,47.993050,44.593613,46.825039,21.265596,38344118
2005-12-01,47.173698,48.603203,45.482697,47.853584,21.992928,40313430
2006-01-01,48.202244,50.381371,47.731552,49.422554,22.714010,38759593
2006-02-01,50.172173,50.294205,47.940750,49.509720,22.754076,31730970
2006-03-01,49.596886,51.898041,47.940750,50.817196,23.613630,51881546
2006-04-01,50.817196,51.793442,49.265659,50.764896,23.589333,46950440
2006-05-01,50.904362,51.148422,46.964500,49.195927,22.860270,49524923
2006-06-01,49.248226,52.037506,48.690369,51.200722,24.049820,50267768
2006-07-01,51.078690,53.606476,50.276772,52.856857,24.827747,35136178
2006-08-01,52.647659,54.007435,50.974091,52.299000,24.565710,42895657
2006-09-01,52.560493,53.728504,51.218155,52.647659,24.993349,44775252
2006-10-01,51.985207,55.994797,51.985207,55.158012,26.185091,53526470
2006-11-01,55.192879,55.733299,53.083485,55.297478,26.251286,48962774
2006-12-01,55.349773,60.143848,54.809353,57.894993,27.763702,47982676
2007-01-01,60.000000,60.000000,55.200001,59.070000,28.327175,65611567
2007-02-01,59.250000,61.290001,58.290001,59.040001,28.312803,52104701
2007-03-01,58.919998,61.860001,57.180000,60.869999,29.494144,54596502
2007-04-01,61.590000,63.900002,60.150002,61.560001,29.828472,38168001
2007-05-01,62.849998,62.910000,57.150002,58.619999,28.403921,45470766
2007-06-01,58.830002,58.950001,54.180000,54.900002,26.874590,64524601
2007-07-01,55.169998,55.830002,51.000000,51.090000,25.009518,70540668
2007-08-01,51.299999,59.700001,50.730000,55.020000,26.933331,81844934
2007-09-01,55.110001,57.509998,54.389999,56.070000,27.776752,42750967
2007-10-01,56.340000,58.619999,54.750000,57.509998,28.490122,45150464
2007-11-01,57.270000,60.270000,55.830002,59.369999,29.411554,51887166
2007-12-01,59.369999,62.340000,59.099998,60.509998,30.316236,39260367
2008-01-01,60.389999,61.799999,53.639999,55.950001,28.031609,60559033
2008-02-01,55.889999,58.259998,52.410000,52.619999,26.363249,58564267
2008-03-01,52.650002,55.290001,51.000000,53.549999,27.148596,60719233
2008-04-01,53.939999,55.799999,53.580002,54.930000,27.848219,50609033
2008-05-01,55.110001,57.599998,53.220001,55.439999,28.106773,42879234
2008-06-01,55.349998,55.410000,51.060001,52.139999,26.745243,58390133
2008-07-01,51.570000,53.279999,50.310001,52.740002,27.053011,59277534
2008-08-01,52.500000,56.160000,51.450001,52.320000,26.837570,48717735
2008-09-01,52.560001,57.299999,51.090000,52.290001,27.172298,78532968
2008-10-01,52.290001,53.970001,40.500000,49.139999,25.535410,119104034
2008-11-01,48.900002,51.599998,42.509998,46.680000,24.257076,89432298
2008-12-01,45.630001,46.080002,42.389999,45.029999,23.744453,63648367
2009-01-01,45.150002,47.880001,43.500000,45.450001,23.965916,54927999
2009-02-01,45.000000,47.580002,40.110001,40.410000,21.308302,65163967
2009-03-01,39.750000,44.099998,35.160000,42.959999,23.000738,75326502
2009-04-01,42.570000,43.410000,40.799999,41.430000,22.181576,60050000
2009-05-01,41.490002,43.500000,39.930000,42.450001,22.727682,62732000
2009-06-01,42.599998,44.490002,41.730000,43.770000,23.824694,64607867
2009-07-01,43.709999,46.889999,42.299999,46.439999,25.278019,53460501
2009-08-01,46.709999,47.220001,45.389999,46.470001,25.294352,55310834
