description,Jan 2001,Feb 2001,Mar 2001,Apr 2001,May 2001,Jun 2001,Jul 2001,Aug 2001,Sep 2001,Oct 2001,Nov 2001,Dec 2001,Jan 2002,Feb 2002,Mar 2002,Apr 2002,May 2002,Jun 2002,Jul 2002,Aug 2002,Sep 2002,Oct 2002,Nov 2002,Dec 2002,Jan 2003,Feb 2003,Mar 2003,Apr 2003,May 2003,Jun 2003,Jul 2003,Aug 2003,Sep 2003,Oct 2003,Nov 2003,Dec 2003,Jan 2004,Feb 2004,Mar 2004,Apr 2004,May 2004,Jun 2004,Jul 2004,Aug 2004,Sep 2004,Oct 2004,Nov 2004,Dec 2004,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022
Tennessee : all sectors,5.59,5.51,5.48,5.51,5.55,5.61,5.69,5.65,5.61,5.52,5.58,5.71,5.68,5.68,5.69,5.66,5.67,5.84,5.53,5.86,5.77,5.8,5.72,5.72,5.71,5.84,5.82,5.71,5.77,5.73,5.85,5.89,5.74,6,5.95,6.04,6.11,6.17,6.12,6.07,6.15,6.25,6.2,6.2,6.14,6.04,6.12,6.03,6.11,6.14,6.15,6.08,6.19,6.32,6.31,6.35,6.33,6.41,6.6,6.67,6.59,6.59,6.6,7,7.01,7.21,7.32,7.26,7.14,6.95,6.93,6.93,6.92,6.9,6.9,7.01,7.07,7.12,7.11,7.13,6.98,7.26,7.23,7.23,7.29,7.23,7.29,7.86,7.93,8.21,8.35,8.26,8.19,9.2,9.2,9.29,9.16,9.13,9.23,8.81,8.81,8.87,8.59,8.65,8.5,8.36,8.05,8.01,7.73,7.68,7.88,8.27,8.47,8.82,9.07,9.01,9.07,9.39,9.09,8.87,8.92,8.91,9.1,8.91,8.97,9.47,9.79,9.75,9.78,9.19,8.94,9.33,9.1,8.88,8.85,8.84,8.94,9.55,9.67,9.47,9.66,9.18,9.19,9.59,9.23,8.83,8.96,8.78,8.86,9.59,9.71,9.55,9.33,8.77,8.7,9,9.13,9.21,9.65,9.48,9.32,9.93,10.01,9.73,9.42,8.94,8.8,9,9.12,9.16,8.97,9.05,8.94,9.53,9.66,9.6,9.57,9.3,9.27,9.21,8.99,8.83,8.85,8.74,8.64,9.26,9.55,9.61,9.63,9.32,9.39,9.59,9.45,9.4,9.26,9.17,9.2,9.65,9.73,9.57,9.46,9.26,9.49,9.56,9.39,9.53,9.72,9.42,9.39,9.68,9.7,9.73,9.57,9.39,9.7,9.72,9.82,9.87,9.68,9.51,9.35,9.87,10,9.82,9.63,9.35,9.66,9.65,9.71,9.55,9.58,9.46,9.4,9.7,9.7,9.51,9.49,9.31,9.44,9.32,9.27,9.39,9.39,9.71,9.5,9.94,10.02,10,10,9.79,10.03,10.2,10.36,10,10.06,10.34,10.34,11.1,12,12.82,11.66
Arkansas : all sectors,5.69,5.6,5.73,6.04,6.16,6.53,6.47,6.58,6.44,5.67,5.54,5.67,5.48,5.41,5.49,5.43,5.5,5.86,6.08,6.08,6.09,5.14,5.18,5.14,5.14,5.24,5.53,5.34,5.59,6.07,6.25,6.18,5.79,5.24,5.04,4.98,5.15,5.18,5.16,5.44,5.73,6.17,6.26,6.27,6,5.37,5.51,5.38,5.37,5.45,5.63,5.91,6.07,6.59,6.67,6.85,7.1,6.65,6.34,6.37,6.48,6.41,6.3,6.44,6.58,7,7.46,8.08,7.61,7,6.9,6.91,6.81,6.83,7,6.32,6.45,6.81,7.41,7.5,7.32,6.88,6.91,6.79,6.6,6.71,6.98,7.31,7.53,8.36,8.43,8.13,8.11,7.66,7.5,7.5,7.64,7.74,7.7,7.26,7.31,7.63,8.02,7.87,7.45,7.29,7.2,7.41,7.49,7.36,7.32,7.13,7.23,7.82,7.43,7.4,7.2,6.99,6.79,6.89,6.71,6.77,6.72,7.11,7.32,7.88,8.15,8.17,8.01,7.28,7.24,7.18,7.16,7.19,7.25,7.11,7.31,7.95,8.15,8.2,8.09,7.48,7.48,7.48,7.61,7.65,7.65,7.64,7.88,8.32,8.42,8.39,8.32,7.7,7.63,7.67,7.24,7.4,7.53,7.7,7.88,8.31,8.53,8.41,8.43,7.8,7.74,7.64,7.57,7.78,7.72,7.87,8.12,8.52,8.82,8.83,8.75,8,8,7.82,7.63,7.7,7.76,7.65,7.89,8.52,8.65,8.69,8.63,8.08,7.86,7.94,7.82,7.86,7.78,8.02,8.16,8.65,8.85,8.77,8.77,8.05,8.03,7.9,8.22,8.28,8.19,7.43,7.48,7.86,8,7.95,7.84,7.18,7.36,7.33,8.05,8,8.14,8,8.09,8.55,8.64,8.59,8.49,8.08,7.92,7.78,7.73,8.06,8.01,8.2,8.17,8.77,8.93,8.55,8.71,8.29,8.13,8.04,7.93,11.27,8.53,8.19,8.33,9.15,9.44,9.54,9.58,9.18,8.84,8.74,8.65,8.71,8.86,9.1,9.74,10.43,10.82,10.75,10.75
